title,artist,objectType,place,date,mediaURLs,thumbnail
A. Laurason,"{""Artist"": ""Jean Francois De Vallee, active 1794-1828"", ""Sitter"": ""A. Laurason""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1958.5.4_1],"https://ids.si.edu/ids/iiif/SAAM-1958.5.4_1/full/250,/0/default.jpg"
Alexander Hamilton,"{""Artist"": ""John Trumbull, 6 Jun 1756 - 10 Nov 1843"", ""Copy after"": ""Giuseppe Ceracchi, 4 Jul 1751 - 31 Jan 1801"", ""Sitter"": ""Alexander Hamilton, 11 Jan 1757 - 11 Jul 1804""}","{""Type"": ""Painting""}",,"{""Date"": ""1806""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_216Hamilton_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_79_216Hamilton_d1/full/250,/0/default.jpg"
Alexander Rose,"{""Artist"": ""Pierre Henri, born Paris, France ca. 1760-died NY 1822"", ""Sitter"": ""Alexander Rose""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1788""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.11.6_1],"https://ids.si.edu/ids/iiif/SAAM-1946.11.6_1/full/250,/0/default.jpg"
Andre Joseph Villard,"{""Artist"": ""David Boudon, Swiss, born Geneva, Switzerland 1748-died 1816; last known residence Chillicothe"", ""Sitter"": ""Andre Joseph Villard""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1810-1812""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1961.9.1_1],"https://ids.si.edu/ids/iiif/SAAM-1961.9.1_1/full/250,/0/default.jpg"
Ann Elliott Morris,"{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Ann Elliott Morris, 1763 - 1848""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_95_116Morris_int],"https://ids.si.edu/ids/iiif/NPG-S_NPG_95_116Morris_int/full/250,/0/default.jpg"
Anne Hume Shippen,"{""Artist"": ""Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843"", ""Sitter"": ""Anne Hume Shippen""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1796""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.1_1],"https://ids.si.edu/ids/iiif/SAAM-1999.87.1_1/full/250,/0/default.jpg"
Apollo and the Seasons (Classical Landscape),"{""Attributed to"": ""Richard Wilson, Welsh, born Penegoes, Wales 1714-died Llanberis, Wales 1782""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1770-1779""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.68_1],"https://ids.si.edu/ids/iiif/SAAM-1956.11.68_1/full/250,/0/default.jpg"
"Archibald Bulloch, Governor of Georgia","{""Artist"": ""Unidentified"", ""Sitter"": ""Archibald Bulloch""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.77.2_1],"https://ids.si.edu/ids/iiif/SAAM-1975.77.2_1/full/250,/0/default.jpg"
Arthur St. Claire,"{""Attribution"": ""Jean Pierre Henri Elouis, 1755 - c. 1843"", ""Sitter"": ""Arthur St. Clair, 23 Mar 1737 - 31 Aug 1818""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1795""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_31StClaire-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_83_31StClaire-000001/full/250,/0/default.jpg"
Augustus Fricke,"{""Artist"": ""Jean Pierre Henri Elouis, French, born Caen, France 1755-died Caen, France 1840"", ""Sitter"": ""Augustus Fricke""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.7.10_1],"https://ids.si.edu/ids/iiif/SAAM-1950.7.10_1/full/250,/0/default.jpg"
Benjamin Franklin,"{""Artist"": ""Joseph Siffred Duplessis, 22 Sep 1725 - 1 Apr 1802"", ""Sitter"": ""Benjamin Franklin, 17 Jan 1706 - 17 Apr 1790""}","{""Type"": ""Painting""}","{""Place"": ""France\\\u00cele-de-France\\Ville de Paris, D\u00e9partment de\\Paris""}","{""Date"": ""c. 1785""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_43],"https://ids.si.edu/ids/iiif/NPG-NPG_87_43/full/250,/0/default.jpg"
"Benjamin Harrison, Jr.","{""Artist"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""Benjamin Harrison, Jr., 1750? - 1799"", ""Formerly identified as"": ""Benjamin Harrison, Sr., 1726 - 1791""}","{""Type"": ""Painting""}",,"{""Date"": ""1783""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_65_109Harrison-000004],"https://ids.si.edu/ids/iiif/NPG-S_NPG_65_109Harrison-000004/full/250,/0/default.jpg"
"Benjamin Hurd, Jr.","{""Artist"": ""William M. S. Doyle, born Boston, MA 1769-died Boston, MA 1828"", ""Sitter"": ""Jr. Benjamin Hurd""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1804-1818""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.9_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.9_1/full/250,/0/default.jpg"
Benjamin Latrobe,"{""Artist"": ""Charles Frederick Von Breda, 16 Aug 1759 - 1 Dec 1818"", ""Sitter"": ""Benjamin Henry Latrobe, 1 May 1764 - 3 Sep 1820""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1790""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_64Latrobe_int],"https://ids.si.edu/ids/iiif/NPG-NPG_2011_64Latrobe_int/full/250,/0/default.jpg"
Benjamin West,"{""Attribution"": ""James Smith, 1749 - 1794"", ""Sitter"": ""Benjamin West, 10 Oct 1738 - 11 Mar 1820""}","{""Type"": ""Painting""}",,"{""Date"": ""1770""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_136West-000004],"https://ids.si.edu/ids/iiif/NPG-NPG_80_136West-000004/full/250,/0/default.jpg"
Betsey Colt Foot,"{""Artist"": ""Ezra Ames, 1768 - 1836"", ""Sitter"": ""Betsey Colt Foot, 1774 - 1847""}","{""Type"": ""Painting""}","{""Place"": ""United States\\New York\\Albany\\Albany""}","{""Date"": ""1815""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_132],"https://ids.si.edu/ids/iiif/NPG-NPG_2016_132/full/250,/0/default.jpg"
Brother-in-law of Mrs. Alexander Rose,"{""Artist"": ""Archibald Robertson, born Moneymusk, Scotland-died New York City 1835"", ""Sitter"": ""Brother-in-Law of Mrs. Alex. Rose""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.2_1],"https://ids.si.edu/ids/iiif/SAAM-1933.7.2_1/full/250,/0/default.jpg"
Caldwell Sister,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Caldwell""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1782""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.2_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.31.2_1/full/250,/0/default.jpg"
Caldwell Sister,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Caldwell""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1782""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.1_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.31.1_1/full/250,/0/default.jpg"
Capt. John Gassoway,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""John Gassoway""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.33_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.33_1/full/250,/0/default.jpg"
Captain Charles McKnight,"{""Artist"": ""Jacob Frymire, born Lancaster County, PA ca. 1765-died Hamilton Township, PA 1822"", ""Sitter"": ""Charles Mc Knight""}","{""Type"": ""Painting""}",,"{""Date"": ""1800""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1968.137_1],"https://ids.si.edu/ids/iiif/SAAM-1968.137_1/full/250,/0/default.jpg"
Captain John H. Seward,"{""Artist"": ""Unidentified"", ""Sitter"": ""Captain John H. Seward""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.21_1],"https://ids.si.edu/ids/iiif/SAAM-1983.21_1/full/250,/0/default.jpg"
Captain Joseph Anthony,"{""Artist"": ""Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02"", ""Sitter"": ""Joseph Anthony""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1794""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.1_1],"https://ids.si.edu/ids/iiif/SAAM-1952.12.1_1/full/250,/0/default.jpg"
Captain Robert Lillibridge,"{""Artist"": ""William Verstille, born Boston, MA ca. 1755-died Boston, MA 1803"", ""Sitter"": ""Robert Lillibridge""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.1_1],"https://ids.si.edu/ids/iiif/SAAM-1975.59.1_1/full/250,/0/default.jpg"
Carter Braxton,"{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Carter Braxton, 10 Sep 1736 - 10 Oct 1797""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1775""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_33Braxton-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_98_33Braxton-000001/full/250,/0/default.jpg"
Charles Brockden Brown,"{""Artist"": ""William Dunlap, 18 Feb 1766 - 28 Sep 1839"", ""Sitter"": ""Charles Brockden Brown, 17 Jan 1771 - 22 Feb 1810""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1806""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_94_83Brown-000002],"https://ids.si.edu/ids/iiif/NPG-NPG_94_83Brown-000002/full/250,/0/default.jpg"
Charles Cotesworth Pinckney,"{""Artist"": ""Henry Benbridge, 20 Oct 1743 - 25 Jan 1812"", ""Sitter"": ""Charles Cotesworth Pinckney, 25 Feb 1746 - 25 Aug 1825""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1773""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_1Pinckney_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_67_1Pinckney_d1/full/250,/0/default.jpg"
Charles Cotesworth Pinckney,"{""Artist"": ""John Trumbull, 6 Jun 1756 - 10 Nov 1843"", ""Sitter"": ""Charles Cotesworth Pinckney, 25 Feb 1746 - 25 Aug 1825""}","{""Type"": ""Painting""}",,"{""Date"": ""1791""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_212],"https://ids.si.edu/ids/iiif/NPG-NPG_2007_212/full/250,/0/default.jpg"
Charles Cotesworth Pinckney,"{""Artist"": ""Unidentified Artist"", ""Copy after"": ""James Earl, 1 May 1761 - 16 Aug 1796"", ""Sitter"": ""Charles Cotesworth Pinckney, 25 Feb 1746 - 25 Aug 1825""}","{""Type"": ""Painting""}",,"{""Date"": ""1796""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_122Pinckney-000002],"https://ids.si.edu/ids/iiif/NPG-NPG_92_122Pinckney-000002/full/250,/0/default.jpg"
Charles Willson Peale Self-Portrait,"{""Artist"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1791""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_89_205],"https://ids.si.edu/ids/iiif/NPG-NPG_89_205/full/250,/0/default.jpg"
Col. George Gibbs III,"{""Artist"": ""John Vanderlyn, 15 Oct 1775 - 23 Sep 1852"", ""Sitter"": ""George Gibbs, 1776 - 1833""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1806-08""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2020_42Gibbs-000002],"https://ids.si.edu/ids/iiif/NPG-NPG_2020_42Gibbs-000002/full/250,/0/default.jpg"
Col. Josiah Parker,"{""Artist"": ""John Ramage, born Dublin, Ireland ca. 1748-died Montreal, Quebec, Canada 1802"", ""Sitter"": ""Col. Josiah Parker""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1789""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.3_1],"https://ids.si.edu/ids/iiif/SAAM-1957.3.3_1/full/250,/0/default.jpg"
"Col. Lewis Morris, IV","{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Col. Lewis Morris IV, 1752? - 1824""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}",[https://ids.si.edu/ids/deliveryService?id=NPG-9500236A_1],"https://ids.si.edu/ids/iiif/NPG-9500236A_1/full/250,/0/default.jpg"
Col. Nathaniel Darby,"{""Artist"": ""Unidentified"", ""Sitter"": ""Col. Nathaniel Darby""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1798""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.7A_1],"https://ids.si.edu/ids/iiif/SAAM-1999.87.7A_1/full/250,/0/default.jpg"
Colonel Benjamin Stephenson,"{""Artist"": ""Unidentified"", ""Sitter"": ""Benjamin Stephenson""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1976.56_1],"https://ids.si.edu/ids/iiif/SAAM-1976.56_1/full/250,/0/default.jpg"
Colonel John Cox,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""John Cox""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1778""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.32_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.32_1/full/250,/0/default.jpg"
Colonial Soldier,"{""Artist"": ""Unidentified"", ""Sitter"": ""unidentified""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1770""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.14_1],"https://ids.si.edu/ids/iiif/SAAM-1950.4.14_1/full/250,/0/default.jpg"
Conrad Wunder,"{""Artist"": ""Unidentified"", ""Sitter"": ""Conrad Wunder""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1797""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.52_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.52_1/full/250,/0/default.jpg"
Daniel Leonard,"{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Daniel Leonard, 18 May 1740 - 27 Jun 1829""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1770""}",[https://ids.si.edu/ids/deliveryService?id=NPG-A8000002A_1],"https://ids.si.edu/ids/iiif/NPG-A8000002A_1/full/250,/0/default.jpg"
Daniel Morgan,"{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Daniel Morgan, 1736 - 6 Jul 1802""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1780""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_3Morgan-000002],"https://ids.si.edu/ids/iiif/NPG-NPG_2001_3Morgan-000002/full/250,/0/default.jpg"
David Livingston,"{""Artist"": ""Joseph Wood, born Clarkstown, NY 1778-died Washington, DC 1830"", ""Sitter"": ""David Livingston""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.51_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.51_1/full/250,/0/default.jpg"
David McClellan,"{""Artist"": ""Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843"", ""Sitter"": ""David McClellan""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.7.1_1],"https://ids.si.edu/ids/iiif/SAAM-1956.7.1_1/full/250,/0/default.jpg"
David Ramsay,"{""Artist"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""David Ramsay, 2 Apr 1749 - 8 May 1815""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia""}","{""Date"": ""1771""}",[https://ids.si.edu/ids/deliveryService?id=NPG-B4000160A_2],"https://ids.si.edu/ids/iiif/NPG-B4000160A_2/full/250,/0/default.jpg"
David Rittenhouse,"{""Artist"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""David Rittenhouse, 8 Apr 1732 - 26 Jun 1796""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1796""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_73Rittenhouse_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_98_73Rittenhouse_d1/full/250,/0/default.jpg"
David Wiley,"{""Artist"": ""Charles Peale Polk, 17 Mar 1767 - 6 May 1822"", ""Sitter"": ""David Wiley, c. 1768 - c. 1813""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1801""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_244Wiley-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_87_244Wiley-000001/full/250,/0/default.jpg"
Don José Mas Ferrer,"{""Artist"": ""Jos\u00e9 Campeche y Jord\u00e1n, born San Juan, Puerto Rico 1751-died San Juan, Puerto Rico 1809"", ""Sitter"": ""Don Jose Mas Ferrer""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.1_1],"https://ids.si.edu/ids/iiif/SAAM-1996.91.1_1/full/250,/0/default.jpg"
Dr. Elisha Poinsett,"{""Artist"": ""Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807"", ""Sitter"": ""Elisha Poinsett""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1801-1802""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.26_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.26_1/full/250,/0/default.jpg"
Dr. William Beekman,"{""Artist"": ""Alexander Robertson, born Aberdeen, Scotland-died New York City 1841"", ""Sitter"": ""William Beekman""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.8_1],"https://ids.si.edu/ids/iiif/SAAM-1942.11.8_1/full/250,/0/default.jpg"
Elizabeth Depeyster Peale,"{""Artist"": ""James Peale, 1749 - 24 May 1831"", ""Sitter"": ""Elizabeth Depeyster Peale, 1765 - 1804""}","{""Type"": ""Painting""}",,"{""Date"": ""1795""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2009_49Depeyster-000004],"https://ids.si.edu/ids/iiif/NPG-S_NPG_2009_49Depeyster-000004/full/250,/0/default.jpg"
Elizabeth Du Hamel?,"{""Artist"": ""Henry Jacob Burch, Jr., English, born 1763-died after 1834"", ""Sitter"": ""Elizabeth Du Hamel""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.40_1],"https://ids.si.edu/ids/iiif/SAAM-1950.4.40_1/full/250,/0/default.jpg"
Elizabeth Grimké Rutledge,"{""Attribution"": ""John Trumbull, 6 Jun 1756 - 10 Nov 1843"", ""Sitter"": ""Elizabeth Grimk\u00e9 Rutledge, ? - 1792""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1791""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_97_191Rutledgealt-000002],"https://ids.si.edu/ids/iiif/NPG-S_NPG_97_191Rutledgealt-000002/full/250,/0/default.jpg"
Elizabeth Knapp,"{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""Elizabeth Knapp""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1802""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1937.11.1_1],"https://ids.si.edu/ids/iiif/SAAM-1937.11.1_1/full/250,/0/default.jpg"
Elizabeth Linn Brown,"{""Artist"": ""William Dunlap, 18 Feb 1766 - 28 Sep 1839"", ""Sitter"": ""Elizabeth Linn Brown, 1775 - 1834""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""c. 1806""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_94_84_int],"https://ids.si.edu/ids/iiif/NPG-S_NPG_94_84_int/full/250,/0/default.jpg"
Elizabeth Oliphant,"{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""Elizabeth Oliphant""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.3_1],"https://ids.si.edu/ids/iiif/SAAM-1942.2.3_1/full/250,/0/default.jpg"
Elizabeth Washington Gamble Wirt,"{""Artist"": ""Cephas Thompson, 1 Jul 1775 - 6 Nov 1856"", ""Former attribution"": ""John Vanderlyn, 15 Oct 1775 - 23 Sep 1852"", ""Sitter"": ""Elizabeth Washington Gamble Wirt, 30 Jan 1784 - 24 Jan 1857""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1809-10""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_89_12-000001],"https://ids.si.edu/ids/iiif/NPG-S_NPG_89_12-000001/full/250,/0/default.jpg"
